product_id,style_code,cluster_id,brand,title,category,subcategory,gender,season,fit,color,material,price_tier,price_usd,launch_calendar_week,feature_1,feature_2,feature_3,core_term_1,core_term_2,core_term_3,description
P1010,LEG_HI_RISE-001,LEG_HI_RISE,CivicWorks,CivicWorks Everyday High-Rise Yoga Legging - White/Navy,Apparel,Leggings,Women,SS,Slim,White/Navy,TENCEL Lyocell,Mid,112.47,4,Gusseted tongue,Reflective trims,Ortholite insole,buttery-soft,second-skin feel,no front seam,"CivicWorks Everyday High-Rise Yoga Legging - White/Navy pairs a slim fit with tencel lyocell for ss wear. Designed for leggings, it features gusseted tongue and reflective trims to enhance everyday performance. Expect buttery-soft, second-skin feel, and no front seam in a versatile white/navy colorway. Ideal for studio flows, strength sessions, and errands. Details include ortholite insole, clean lines and minimal branding, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel."
P1011,LEG_HI_RISE-002,LEG_HI_RISE,NordVale,NordVale Trail High-Rise Yoga Legging - Sand/Maroon,Apparel,Leggings,Women,SS,Slim,Sand/Maroon,Nylon,Mid,78.37,29,Carbon rubber outsole,Seamless construction,Windproof,buttery-soft,second-skin feel,opaque coverage,"NordVale Trail High-Rise Yoga Legging - Sand/Maroon pairs a slim fit with nylon for ss wear. Designed for leggings, it features carbon rubber outsole and seamless construction to enhance everyday performance. Expect buttery-soft, second-skin feel, and opaque coverage in a versatile sand/maroon colorway. Ideal for studio flows, strength sessions, and errands. Details include windproof, clean lines and minimal branding. Fit notes: fits close to body; size up for a relaxed feel."
P1012,LEG_HI_RISE-003,LEG_HI_RISE,Trail&Town,Trail&Town Pro High-Rise Yoga Legging - Burgundy,Apparel,Leggings,Women,SS,Slim,Burgundy,Nylon,Mid,81.92,39,Reflective trims,Windproof,Ortholite insole,second-skin feel,buttery-soft,opaque coverage,"Trail&Town Pro High-Rise Yoga Legging - Burgundy pairs a slim fit with nylon for ss wear. Designed for leggings, it features reflective trims and windproof to enhance everyday performance. Expect second-skin feel, buttery-soft, and opaque coverage in a versatile burgundy colorway. Ideal for studio flows, strength sessions, and errands. Details include ortholite insole, clean lines and minimal branding. Fit notes: fits close to body; size up for a relaxed feel."
P1013,LEG_HI_RISE-004,LEG_HI_RISE,Trail&Town,Trail&Town Performance High-Rise Yoga Legging - Maroon,Apparel,Leggings,Women,SS,Slim,Maroon,Nylon,Mid,61.36,35,Reflective trims,Water-repellent,Seamless construction,second-skin feel,opaque coverage,buttery-soft,"Trail&Town Performance High-Rise Yoga Legging - Maroon pairs a slim fit with nylon for ss wear. Designed for leggings, it features reflective trims and water-repellent to enhance everyday performance. Expect second-skin feel, opaque coverage, and buttery-soft in a versatile maroon colorway. Ideal for studio flows, strength sessions, and errands. Details include seamless construction, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel."
P1014,LEG_HI_RISE-005,LEG_HI_RISE,CivicWorks,CivicWorks City High-Rise Yoga Legging - Charcoal,Apparel,Leggings,Women,SS,Slim,Charcoal,TENCEL Lyocell,Premium,127.37,20,Carbon rubber outsole,Anti-odor,Windproof,no front seam,buttery-soft,second-skin feel,"CivicWorks City High-Rise Yoga Legging - Charcoal pairs a slim fit with tencel lyocell for ss wear. Designed for leggings, it features carbon rubber outsole and anti-odor to enhance everyday performance. Expect no front seam, buttery-soft, and second-skin feel in a versatile charcoal colorway. Ideal for studio flows, strength sessions, and errands. Details include windproof, clean lines and minimal branding. Fit notes: fits close to body; size up for a relaxed feel."
P1015,TEE_CREW-001,TEE_CREW,Trail&Town,Trail&Town Everyday Crewneck Tee - Sand/Navy,Apparel,T-Shirts,Unisex,All-Season,Regular,Sand/Navy,Organic Cotton,Budget,29.25,20,Reflective trims,Breathable panels,UPF 50,soft handfeel,everyday essential,classic crew,"Trail&Town Everyday Crewneck Tee - Sand/Navy pairs a regular fit with organic cotton for all season wear. Designed for t-shirts, it features reflective trims and breathable panels to enhance everyday performance. Expect soft handfeel, everyday essential, and classic crew in a versatile sand/navy colorway. Ideal for layering, travel, and relaxed weekends. Details include upf 50, clean lines and minimal branding, machine-washable construction. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1016,TEE_CREW-002,TEE_CREW,Fieldline,Fieldline Everyday Crewneck Tee - Olive,Apparel,T-Shirts,Unisex,All-Season,Regular,Olive,Cotton-Modal,Budget,17.49,48,Media pocket,Cushioned collar,Zippered hand pockets,classic crew,breathable jersey knit,soft handfeel,"Fieldline Everyday Crewneck Tee - Olive pairs a regular fit with cotton-modal for all season wear. Designed for t-shirts, it features media pocket and cushioned collar to enhance everyday performance. Expect classic crew, breathable jersey knit, and soft handfeel in a versatile olive colorway. Ideal for layering, travel, and relaxed weekends. Details include zippered hand pockets, clean lines and minimal branding, machine-washable construction. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1017,TEE_CREW-003,TEE_CREW,UrbanPeak,UrbanPeak Pro Crewneck Tee - Stone/Charcoal,Apparel,T-Shirts,Women,All-Season,Regular,Stone/Charcoal,Cotton-Modal,Budget,18.92,41,Media pocket,Rock plate,Moisture-wicking,everyday essential,breathable jersey knit,classic crew,"UrbanPeak Pro Crewneck Tee - Stone/Charcoal pairs a regular fit with cotton-modal for all season wear. Designed for t-shirts, it features media pocket and rock plate to enhance everyday performance. Expect everyday essential, breathable jersey knit, and classic crew in a versatile stone/charcoal colorway. Ideal for layering, travel, and relaxed weekends. Details include moisture-wicking, machine-washable construction. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1018,TEE_CREW-004,TEE_CREW,NordVale,NordVale Performance Crewneck Tee - Teal,Apparel,T-Shirts,Men,All-Season,Regular,Teal,Cotton,Mid,50.24,32,Rock plate,Carbon rubber outsole,Hidden pocket,classic crew,breathable jersey knit,soft handfeel,"NordVale Performance Crewneck Tee - Teal pairs a regular fit with cotton for all season wear. Designed for t-shirts, it features rock plate and carbon rubber outsole to enhance everyday performance. Expect classic crew, breathable jersey knit, and soft handfeel in a versatile teal colorway. Ideal for layering, travel, and relaxed weekends. Details include hidden pocket, clean lines and minimal branding. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1019,TEE_CREW-005,TEE_CREW,CivicWorks,CivicWorks Essential Crewneck Tee - Sand,Apparel,T-Shirts,Men,All-Season,Regular,Sand,Organic Cotton,Mid,52.89,6,4-way stretch,Anti-odor,Gusseted tongue,classic crew,soft handfeel,breathable jersey knit,"CivicWorks Essential Crewneck Tee - Sand pairs a regular fit with organic cotton for all season wear. Designed for t-shirts, it features 4-way stretch and anti-odor to enhance everyday performance. Expect classic crew, soft handfeel, and breathable jersey knit in a versatile sand colorway. Ideal for layering, travel, and relaxed weekends. Details include gusseted tongue. Fit notes: true to size; layer comfortably underneath."
P1020,HOOD_FLEECE-001,HOOD_FLEECE,Fieldline,Fieldline Performance Fleece Hoodie - Olive,Apparel,Hoodies,Men,FW,Relaxed,Olive,Fleece,Mid,62.38,4,Gusseted tongue,Seamless construction,Anti-odor,kangaroo pocket,brushed interior,cozy warmth,"Fieldline Performance Fleece Hoodie - Olive pairs a relaxed fit with fleece for fw wear. Designed for hoodies, it features gusseted tongue and seamless construction to enhance everyday performance. Expect kangaroo pocket, brushed interior, and cozy warmth in a versatile olive colorway. Ideal for cool commutes and couch time. Details include anti-odor, machine-washable construction. Fit notes: roomy through body and sleeves."
P1021,HOOD_FLEECE-002,HOOD_FLEECE,NordVale,NordVale Signature Fleece Hoodie - Charcoal/Blush,Apparel,Hoodies,Women,FW,Relaxed,Charcoal/Blush,French Terry,Budget,15.8,47,Carbon rubber outsole,Reflective trims,Windproof,rib cuffs and hem,kangaroo pocket,cozy warmth,"NordVale Signature Fleece Hoodie - Charcoal/Blush pairs a relaxed fit with french terry for fw wear. Designed for hoodies, it features carbon rubber outsole and reflective trims to enhance everyday performance. Expect rib cuffs and hem, kangaroo pocket, and cozy warmth in a versatile charcoal/blush colorway. Ideal for cool commutes and couch time. Details include windproof, clean lines and minimal branding, machine-washable construction. Fit notes: roomy through body and sleeves. Made with recycled or responsibly sourced materials to lower environmental impact."
P1022,HOOD_FLEECE-003,HOOD_FLEECE,AstraRun,AstraRun Everyday Fleece Hoodie - Cobalt,Apparel,Hoodies,Women,FW,Relaxed,Cobalt,Fleece,Mid,91.16,5,Moisture-wicking,UPF 50,Hidden pocket,kangaroo pocket,cozy warmth,rib cuffs and hem,"AstraRun Everyday Fleece Hoodie - Cobalt pairs a relaxed fit with fleece for fw wear. Designed for hoodies, it features moisture-wicking and upf 50 to enhance everyday performance. Expect kangaroo pocket, cozy warmth, and rib cuffs and hem in a versatile cobalt colorway. Ideal for cool commutes and couch time. Details include hidden pocket, machine-washable construction. Fit notes: roomy through body and sleeves."
P1023,HOOD_FLEECE-004,HOOD_FLEECE,UrbanPeak,UrbanPeak City Fleece Hoodie - Burgundy,Apparel,Hoodies,Women,FW,Relaxed,Burgundy,French Terry,Budget,36.19,25,Seamless construction,Moisture-wicking,Rock plate,kangaroo pocket,rib cuffs and hem,cozy warmth,"UrbanPeak City Fleece Hoodie - Burgundy pairs a relaxed fit with french terry for fw wear. Designed for hoodies, it features seamless construction and moisture-wicking to enhance everyday performance. Expect kangaroo pocket, rib cuffs and hem, and cozy warmth in a versatile burgundy colorway. Ideal for cool commutes and couch time. Details include rock plate. Fit notes: roomy through body and sleeves. Made with recycled or responsibly sourced materials to lower environmental impact."
P1024,HOOD_FLEECE-005,HOOD_FLEECE,AstraRun,AstraRun Essential Fleece Hoodie - Maroon,Apparel,Hoodies,Unisex,FW,Relaxed,Maroon,Fleece,Mid,92.47,2,Gusseted tongue,Anti-odor,Windproof,rib cuffs and hem,cozy warmth,kangaroo pocket,"AstraRun Essential Fleece Hoodie - Maroon pairs a relaxed fit with fleece for fw wear. Designed for hoodies, it features gusseted tongue and anti-odor to enhance everyday performance. Expect rib cuffs and hem, cozy warmth, and kangaroo pocket in a versatile maroon colorway. Ideal for cool commutes and couch time. Details include windproof, clean lines and minimal branding. Fit notes: roomy through body and sleeves. Made with recycled or responsibly sourced materials to lower environmental impact."
P1025,JKT_RAIN-001,JKT_RAIN,NordVale,NordVale Essential 2.5L Rain Jacket - Burgundy,Apparel,Rain Jackets,Unisex,SS,Regular,Burgundy,Recycled Polyester,Mid,95.46,1,Cushioned collar,Heel pull tab,Ortholite insole,packable hood,PFC-free DWR,storm flap,"NordVale Essential 2.5L Rain Jacket - Burgundy pairs a regular fit with recycled polyester for ss wear. Designed for rain jackets, it features cushioned collar and heel pull tab to enhance everyday performance. Expect packable hood, PFC-free DWR, and storm flap in a versatile burgundy colorway. Ideal for unpredictable showers and breezy days. Details include ortholite insole, clean lines and minimal branding. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1026,JKT_RAIN-002,JKT_RAIN,NordVale,NordVale Trail 2.5L Rain Jacket - Maroon,Apparel,Rain Jackets,Men,SS,Regular,Maroon,Nylon,Mid,111.14,19,Moisture-wicking,Quick-dry,Reflective trims,storm flap,PFC-free DWR,fully seam-sealed,"NordVale Trail 2.5L Rain Jacket - Maroon pairs a regular fit with nylon for ss wear. Designed for rain jackets, it features moisture-wicking and quick-dry to enhance everyday performance. Expect storm flap, PFC-free DWR, and fully seam-sealed in a versatile maroon colorway. Ideal for unpredictable showers and breezy days. Details include reflective trims, clean lines and minimal branding. Fit notes: true to size; layer comfortably underneath."
P1027,JKT_RAIN-003,JKT_RAIN,NordVale,NordVale Studio 2.5L Rain Jacket - Navy,Apparel,Rain Jackets,Women,SS,Regular,Navy,Nylon,Budget,19.53,12,Seamless construction,Reflective trims,Water-repellent,storm flap,fully seam-sealed,PFC-free DWR,"NordVale Studio 2.5L Rain Jacket - Navy pairs a regular fit with nylon for ss wear. Designed for rain jackets, it features seamless construction and reflective trims to enhance everyday performance. Expect storm flap, fully seam-sealed, and PFC-free DWR in a versatile navy colorway. Ideal for unpredictable showers and breezy days. Details include water-repellent. Fit notes: true to size; layer comfortably underneath."
P1028,JKT_RAIN-004,JKT_RAIN,CivicWorks,CivicWorks Pro 2.5L Rain Jacket - Forest,Apparel,Rain Jackets,Women,SS,Regular,Forest,Recycled Polyester,Mid,102.84,16,Gusseted tongue,Cushioned collar,Water-repellent,storm flap,packable hood,PFC-free DWR,"CivicWorks Pro 2.5L Rain Jacket - Forest pairs a regular fit with recycled polyester for ss wear. Designed for rain jackets, it features gusseted tongue and cushioned collar to enhance everyday performance. Expect storm flap, packable hood, and PFC-free DWR in a versatile forest colorway. Ideal for unpredictable showers and breezy days. Details include water-repellent, clean lines and minimal branding, machine-washable construction. Fit notes: true to size; layer comfortably underneath."
P1029,JKT_RAIN-005,JKT_RAIN,AstraRun,AstraRun Signature 2.5L Rain Jacket - Olive,Apparel,Rain Jackets,Unisex,SS,Regular,Olive,Ripstop Nylon,Mid,54.43,9,4-way stretch,Anti-odor,Ortholite insole,packable hood,storm flap,fully seam-sealed,"AstraRun Signature 2.5L Rain Jacket - Olive pairs a regular fit with ripstop nylon for ss wear. Designed for rain jackets, it features 4-way stretch and anti-odor to enhance everyday performance. Expect packable hood, storm flap, and fully seam-sealed in a versatile olive colorway. Ideal for unpredictable showers and breezy days. Details include ortholite insole, clean lines and minimal branding, machine-washable construction. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1030,JNS_STRETCH-001,JNS_STRETCH,EverNorth,EverNorth Trail Stretch Denim Jean - Burgundy,Apparel,Jeans,Men,All-Season,Slim,Burgundy,Cotton,Mid,87.14,30,Ortholite insole,Breathable panels,Carbon rubber outsole,comfort stretch,clean wash,classic 5-pocket,"EverNorth Trail Stretch Denim Jean - Burgundy pairs a slim fit with cotton for all season wear. Designed for jeans, it features ortholite insole and breathable panels to enhance everyday performance. Expect comfort stretch, clean wash, and classic 5-pocket in a versatile burgundy colorway. Ideal for workdays and nights out. Details include carbon rubber outsole, clean lines and minimal branding. Fit notes: fits close to body; size up for a relaxed feel. Made with recycled or responsibly sourced materials to lower environmental impact."
P1031,JNS_STRETCH-002,JNS_STRETCH,NordVale,NordVale Performance Stretch Denim Jean - Charcoal,Apparel,Jeans,Men,All-Season,Slim,Charcoal,Recycled Polyester,Budget,17.85,10,Breathable panels,Water-repellent,Cushioned collar,clean wash,classic 5-pocket,comfort stretch,"NordVale Performance Stretch Denim Jean - Charcoal pairs a slim fit with recycled polyester for all season wear. Designed for jeans, it features breathable panels and water-repellent to enhance everyday performance. Expect clean wash, classic 5-pocket, and comfort stretch in a versatile charcoal colorway. Ideal for workdays and nights out. Details include cushioned collar, clean lines and minimal branding, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel. Made with recycled or responsibly sourced materials to lower environmental impact."
P1032,JNS_STRETCH-003,JNS_STRETCH,EverNorth,EverNorth City Stretch Denim Jean - Cobalt/Burgundy,Apparel,Jeans,Women,All-Season,Slim,Cobalt/Burgundy,Recycled Polyester,Mid,65.47,39,Hidden pocket,Seamless construction,Heel pull tab,comfort stretch,clean wash,durable twill,"EverNorth City Stretch Denim Jean - Cobalt/Burgundy pairs a slim fit with recycled polyester for all season wear. Designed for jeans, it features hidden pocket and seamless construction to enhance everyday performance. Expect comfort stretch, clean wash, and durable twill in a versatile cobalt/burgundy colorway. Ideal for workdays and nights out. Details include heel pull tab. Fit notes: fits close to body; size up for a relaxed feel."
P1033,JNS_STRETCH-004,JNS_STRETCH,NordVale,NordVale Essential Stretch Denim Jean - Olive,Apparel,Jeans,Men,All-Season,Slim,Olive,Cotton,Mid,91.81,30,Anti-odor,Carbon rubber outsole,UPF 50,clean wash,durable twill,classic 5-pocket,"NordVale Essential Stretch Denim Jean - Olive pairs a slim fit with cotton for all season wear. Designed for jeans, it features anti-odor and carbon rubber outsole to enhance everyday performance. Expect clean wash, durable twill, and classic 5-pocket in a versatile olive colorway. Ideal for workdays and nights out. Details include upf 50. Fit notes: fits close to body; size up for a relaxed feel. Made with recycled or responsibly sourced materials to lower environmental impact."
P1034,JNS_STRETCH-005,JNS_STRETCH,AstraRun,AstraRun Performance Stretch Denim Jean - White,Apparel,Jeans,Women,All-Season,Slim,White,Recycled Polyester,Premium,164.79,10,Breathable panels,Windproof,4-way stretch,clean wash,comfort stretch,durable twill,"AstraRun Performance Stretch Denim Jean - White pairs a slim fit with recycled polyester for all season wear. Designed for jeans, it features breathable panels and windproof to enhance everyday performance. Expect clean wash, comfort stretch, and durable twill in a versatile white colorway. Ideal for workdays and nights out. Details include 4-way stretch, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel."
P1035,PNT_CHINO-001,PNT_CHINO,Trail&Town,Trail&Town Studio Slim Chino Pant - Rust,Apparel,Chino Pants,Unisex,All-Season,Slim,Rust,Cotton-Modal,Mid,80.05,29,Elastic cuffs,Cushioned collar,Anti-odor,clean front,tapered leg,smart casual,"Trail&Town Studio Slim Chino Pant - Rust pairs a slim fit with cotton-modal for all season wear. Designed for chino pants, it features elastic cuffs and cushioned collar to enhance everyday performance. Expect clean front, tapered leg, and smart casual in a versatile rust colorway. Ideal for office hours and casual Fridays. Details include anti-odor, clean lines and minimal branding, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel. Made with recycled or responsibly sourced materials to lower environmental impact."
P1036,PNT_CHINO-002,PNT_CHINO,UrbanPeak,UrbanPeak Studio Slim Chino Pant - Charcoal,Apparel,Chino Pants,Men,All-Season,Slim,Charcoal,Cotton-Modal,Budget,22.21,34,Ortholite insole,Breathable panels,Zippered hand pockets,tapered leg,smart casual,micro-stretch,"UrbanPeak Studio Slim Chino Pant - Charcoal pairs a slim fit with cotton-modal for all season wear. Designed for chino pants, it features ortholite insole and breathable panels to enhance everyday performance. Expect tapered leg, smart casual, and micro-stretch in a versatile charcoal colorway. Ideal for office hours and casual Fridays. Details include zippered hand pockets, clean lines and minimal branding, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel."
P1037,PNT_CHINO-003,PNT_CHINO,AstraRun,AstraRun Performance Slim Chino Pant - Sand/Olive,Apparel,Chino Pants,Unisex,All-Season,Slim,Sand/Olive,Cotton-Modal,Budget,18.16,49,Carbon rubber outsole,Gusseted tongue,Reflective trims,clean front,micro-stretch,smart casual,"AstraRun Performance Slim Chino Pant - Sand/Olive pairs a slim fit with cotton-modal for all season wear. Designed for chino pants, it features carbon rubber outsole and gusseted tongue to enhance everyday performance. Expect clean front, micro-stretch, and smart casual in a versatile sand/olive colorway. Ideal for office hours and casual Fridays. Details include reflective trims, clean lines and minimal branding, machine-washable construction. Fit notes: fits close to body; size up for a relaxed feel."
P1038,PNT_CHINO-004,PNT_CHINO,Fieldline,Fieldline Signature Slim Chino Pant - Tan,Apparel,Chino Pants,Men,All-Season,Slim,Tan,Cotton-Modal,Mid,71.77,30,Elastic cuffs,Cushioned collar,Hidden pocket,micro-stretch,smart casual,tapered leg,"Fieldline Signature Slim Chino Pant - Tan pairs a slim fit with cotton-modal for all season wear. Designed for chino pants, it features elastic cuffs and cushioned collar to enhance everyday performance. Expect micro-stretch, smart casual, and tapered leg in a versatile tan colorway. Ideal for office hours and casual Fridays. Details include hidden pocket, clean lines and minimal branding. Fit notes: fits close to body; size up for a relaxed feel. Made with recycled or responsibly sourced materials to lower environmental impact."
P1039,PNT_CHINO-005,PNT_CHINO,NordVale,NordVale Performance Slim Chino Pant - Teal,Apparel,Chino Pants,Unisex,All-Season,Slim,Teal,Cotton-Modal,Mid,98.85,43,UPF 50,Windproof,Media pocket,smart casual,clean front,tapered leg,"NordVale Performance Slim Chino Pant - Teal pairs a slim fit with cotton-modal for all season wear. Designed for chino pants, it features upf 50 and windproof to enhance everyday performance. Expect smart casual, clean front, and tapered leg in a versatile teal colorway. Ideal for office hours and casual Fridays. Details include media pocket, clean lines and minimal branding. Fit notes: fits close to body; size up for a relaxed feel."
P1040,JKT_INSUL-001,JKT_INSUL,Coastline,Coastline Performance Lightweight Insulated Jacket - Maroon,Apparel,Insulated Jackets,Women,FW,Regular,Maroon,Nylon,Mid,67.42,13,Ortholite insole,Media pocket,Carbon rubber outsole,warmth-to-weight,packs into pocket,baffles,"Coastline Performance Lightweight Insulated Jacket - Maroon pairs a regular fit with nylon for fw wear. Designed for insulated jackets, it features ortholite insole and media pocket to enhance everyday performance. Expect warmth-to-weight, packs into pocket, and baffles in a versatile maroon colorway. Ideal for chilly mornings and frosty evenings. Details include carbon rubber outsole, clean lines and minimal branding, machine-washable construction. Fit notes: true to size; layer comfortably underneath."
